Metrics_ID,Campaign,Month & Yr,Website Speed (Mobile),Website Speed (Desktop),Website Speed,Leads,Rankings,Traffic,Engagement,Conversion
DCR-March-2023,DCR,3/15/2023,65%,65%,65%,35,0,1600,0:20,2.19
DCR-April-2023,DCR,4/15/2023,0%,0%,0%,69,0,3348,1:10,2.06
DVCSD-April-2023,DVCSD,4/15/2023,0%,0%,0%,42,0,517,0:41,8.12
LADC-April-2023,LADC,4/15/2023,0%,0%,0%,0,0,639,0:44,0.00
NWCR-April-2023,NWCR,4/15/2023,0%,0%,0%,76,0,1181,0:50,6.44
TR-April-2023,TR,4/15/2023,0%,0%,0%,9,0,507,1:34,1.78
LVCA-April-2023,LVCA,4/15/2023,0%,0%,0%,13,0,408,1:35,3.19
DaCA-April-2023,DaCA,4/15/2023,0%,0%,0%,8,0,276,0:58,2.90
DeCA-April-2023,DeCA,4/15/2023,0%,0%,0%,14,0,225,1:12,6.22
ICA-April-2023,ICA,4/15/2023,0%,0%,0%,5,0,220,1:05,2.27
MiCA-April-2023,MiCA,4/15/2023,0%,0%,0%,5,0,117,0:53,4.27
CLN-April-2023,CLN,4/15/2023,0%,0%,0%,0,0,0,0:00,0.00
AtCA-April-2023,AtCA,4/15/2023,0%,0%,0%,4,0,285,1:23,1.40
DCO-April-2023,DCO,4/15/2023,0%,0%,0%,23,0,893,1:06,2.58
OCDC-April-2023,OCDC,4/15/2023,0%,0%,0%,35,0,1083,0:42,3.23
SDDC-April-2023,SDDC,4/15/2023,0%,0%,0%,4,0,1462,0:52,0.27
HDC-April-2023,HDC,4/15/2023,0%,0%,0%,5,0,142,0:54,3.52
BC-April-2023,BC,4/15/2023,0%,0%,0%,0,0,440,1:12,0.00
CRLV-April-2023,CRLV,4/15/2023,0%,0%,0%,39,0,358,1:15,10.89
DCT-April-2023,DCT,4/15/2023,0%,0%,0%,16,0,480,0:56,3.33
DDC-April-2023,DDC,4/15/2023,0%,0%,0%,22,0,826,1:02,2.66
KCA-April-2023,KCA,4/15/2023,0%,0%,0%,4,0,231,1:22,1.73
MnCA-April-2023,MnCA,4/15/2023,0%,0%,0%,10,0,214,0:59,4.67
CCA-April-2023,CCA,4/15/2023,0%,0%,0%,24,0,250,1:42,9.60
SJCR-April-2023,SJCR,4/15/2023,0%,0%,0%,9,0,297,0:39,3.03
OrE-April-2023,OrE,4/15/2023,0%,0%,0%,0,0,60,1:46,0.00
PRLV-April-2023,PRLV,4/15/2023,0%,0%,0%,11,0,183,0:00,6.01
CRO-April-2023,CRO,4/15/2023,0%,0%,0%,0,0,29,3:45,0.00
AtCA-May-2023,AtCA,5/15/2023,0%,0%,0%,11,0,227,1:17,4.85
BC-May-2023,BC,5/15/2023,0%,0%,0%,0,0,388,1:09,0.00
TR-May-2023,TR,5/15/2023,0%,0%,0%,10,0,600,1:09,1.67
SDDC-May-2023,SDDC,5/15/2023,0%,0%,0%,29,0,2262,0:57,1.28
PRLV-May-2023,PRLV,5/15/2023,0%,0%,0%,7,0,0,0:00,0.00
HDC-May-2023,HDC,5/15/2023,0%,0%,0%,5,0,195,1:03,2.56
DCR-May-2023,DCR,5/15/2023,0%,0%,0%,89,0,4695,1:04,1.90
DDC-May-2023,DDC,5/15/2023,0%,0%,0%,29,0,1125,0:53,2.58
OrE-May-2023,OrE,5/15/2023,0%,0%,0%,1,0,48,0:42,2.08
ICA-May-2023,ICA,5/15/2023,0%,0%,0%,7,0,262,1:32,2.67
OCDC-May-2023,OCDC,5/15/2023,0%,0%,0%,19,0,1422,0:43,1.34
CCA-May-2023,CCA,5/15/2023,0%,0%,0%,39,0,402,1:16,9.70
MiCA-May-2023,MiCA,5/15/2023,0%,0%,0%,18,0,217,1:21,8.29
KCA-May-2023,KCA,5/15/2023,0%,0%,0%,5,0,240,1:13,2.08
DVCSD-May-2023,DVCSD,5/15/2023,0%,0%,0%,59,0,432,0:49,13.66
SJCR-May-2023,SJCR,5/15/2023,0%,0%,0%,10,0,303,0:53,3.30
CRO-May-2023,CRO,5/15/2023,0%,0%,0%,1,0,53,1:41,1.89
DaCA-May-2023,DaCA,5/15/2023,0%,0%,0%,4,0,551,0:43,0.73
CRLV-May-2023,CRLV,5/15/2023,0%,0%,0%,27,0,529,1:02,5.10
DCO-May-2023,DCO,5/15/2023,0%,0%,0%,25,0,1244,1:03,2.01
NWCR-May-2023,NWCR,5/15/2023,0%,0%,0%,88,0,1521,0:51,5.79
DeCA-May-2023,DeCA,5/15/2023,0%,0%,0%,21,0,304,1:29,6.91
CLN-May-2023,CLN,5/15/2023,0%,0%,0%,0,0,0,0:00,0.00
MnCA-May-2023,MnCA,5/15/2023,0%,0%,0%,16,0,162,1:13,9.88
LVCA-May-2023,LVCA,5/15/2023,0%,0%,0%,19,0,512,1:01,3.71
DCT-May-2023,DCT,5/15/2023,0%,0%,0%,15,0,487,0:56,3.08
LADC-May-2023,LADC,5/15/2023,0%,0%,0%,0,0,774,0:00,0.00
DCR-April-2024,DCR,4/15/2024,96%,100%,97%,132,44,3572,1:00,3.70
DVCSD-April-2024,DVCSD,4/15/2024,77%,92%,82%,15,66,505,0:52,2.97
LADC-April-2024,LADC,4/15/2024,85%,95%,89%,5,121,824,0:48,0.61
NWCR-April-2024,NWCR,4/15/2024,94%,66%,84%,27,120,938,0:53,2.88
TR-April-2024,TR,4/15/2024,66%,80%,71%,2,98,447,1:05,0.45
LVCA-April-2024,LVCA,4/15/2024,79%,85%,81%,22,73,497,1:15,4.43
DaCA-April-2024,DaCA,4/15/2024,83%,87%,84%,9,0,430,0:50,2.09
DeCA-April-2024,DeCA,4/15/2024,72%,87%,77%,24,126,388,1:05,6.19
ICA-April-2024,ICA,4/15/2024,71%,82%,75%,5,49,215,1:29,2.33
MiCA-April-2024,MiCA,4/15/2024,81%,76%,79%,20,88,333,1:03,6.01
CLN-April-2024,CLN,4/15/2024,64%,67%,65%,0,0,17,17:59,0.00
AtCA-April-2024,AtCA,4/15/2024,77%,84%,79%,4,73,198,1:30,2.02
DCO-April-2024,DCO,4/15/2024,81%,93%,85%,15,107,615,1:15,2.44
OCDC-April-2024,OCDC,4/15/2024,93%,68%,84%,7,87,707,0:55,0.99
SDDC-April-2024,SDDC,4/15/2024,82%,86%,83%,18,52,1108,0:58,1.62
HDC-April-2024,HDC,4/15/2024,76%,93%,82%,3,14,238,0:00,1.26
BC-April-2024,BC,4/15/2024,46%,74%,56%,1,49,201,1:35,0.50
CRLV-April-2024,CRLV,4/15/2024,50%,77%,59%,21,72,321,1:03,6.54
DCT-April-2024,DCT,4/15/2024,93%,97%,94%,10,29,392,0:01,2.55
DDC-April-2024,DDC,4/15/2024,52%,70%,58%,21,54,766,0:01,2.74
KCA-April-2024,KCA,4/15/2024,85%,92%,87%,2,27,197,1:14,1.02
MnCA-April-2024,MnCA,4/15/2024,75%,94%,82%,0,37,165,1:10,0.00
CCA-April-2024,CCA,4/15/2024,79%,87%,82%,21,170,362,1:16,5.80
SJCR-April-2024,SJCR,4/15/2024,69%,83%,74%,9,59,221,0:52,4.07
OrE-April-2024,OrE,4/15/2024,82%,95%,87%,0,6,0,0:00,0.00
PRLV-April-2024,PRLV,4/15/2024,74%,93%,81%,2,4,198,1:51,1.01
CRO-April-2024,CRO,4/15/2024,86%,65%,79%,2,0,72,1:12,2.78
AtCA-May-2024,AtCA,5/15/2024,81%,99%,87%,14,94,181,1:09,7.73
DeCA-May-2024,DeCA,5/15/2024,83%,95%,87%,26,131,297,0:59,8.75
CRO-May-2024,CRO,5/15/2024,79%,74%,77%,3,8,85,0:53,3.53
LVCA-May-2024,LVCA,5/15/2024,77%,96%,84%,23,70,421,1:12,5.46
CCA-May-2024,CCA,5/15/2024,78%,82%,79%,37,176,352,1:17,10.51
CLN-May-2024,CLN,5/15/2024,82%,82%,82%,7,1,71,3:11,9.86
TR-May-2024,TR,5/15/2024,80%,95%,85%,0,94,416,0:50,0.00
DaCA-May-2024,DaCA,5/15/2024,88%,97%,91%,7,2,398,0:47,1.76
SJCR-May-2024,SJCR,5/15/2024,77%,99%,85%,10,38,180,1:00,5.56
BC-May-2024,BC,5/15/2024,53%,92%,67%,7,39,124,1:54,5.65
DCR-May-2024,DCR,5/15/2024,93%,96%,94%,141,48,3073,1:03,4.59
OrE-May-2024,OrE,5/15/2024,76%,97%,83%,0,23,0,0:00,0.00
CRLV-May-2024,CRLV,5/15/2024,60%,95%,72%,26,71,293,1:16,8.87
DDC-May-2024,DDC,5/15/2024,84%,96%,88%,32,44,777,1:10,4.12
OCDC-May-2024,OCDC,5/15/2024,71%,77%,73%,25,91,630,0:53,3.97
DVCSD-May-2024,DVCSD,5/15/2024,83%,99%,89%,44,100,426,0:50,10.33
KCA-May-2024,KCA,5/15/2024,77%,90%,82%,16,29,202,1:29,7.92
MiCA-May-2024,MiCA,5/15/2024,87%,95%,90%,20,112,258,0:39,7.75
MnCA-May-2024,MnCA,5/15/2024,85%,98%,90%,8,29,141,1:18,5.67
LADC-May-2024,LADC,5/15/2024,80%,94%,85%,16,190,847,0:40,1.89
ICA-May-2024,ICA,5/15/2024,86%,99%,91%,30,73,219,1:21,13.70
DCT-May-2024,DCT,5/15/2024,83%,78%,81%,21,29,344,1:13,6.10
SDDC-May-2024,SDDC,5/15/2024,88%,96%,91%,0,48,1094,0:51,0.00
PRLV-May-2024,PRLV,5/15/2024,75%,97%,83%,14,2,225,2:03,6.22
DCO-May-2024,DCO,5/15/2024,90%,99%,93%,0,123,641,1:02,0.00
NWCR-May-2024,NWCR,5/15/2024,96%,91%,94%,31,150,849,0:56,3.65
HDC-May-2024,HDC,5/15/2024,83%,98%,88%,3,14,210,0:50,1.43
AtCA-June-2024,AtCA,6/25/2024,87%,95%,90%,16,49,134,0:57,11.94
BC-June-2024,BC,6/25/2024,82%,93%,86%,4,43,121,1:21,3.31
CCA-June-2024,CCA,6/25/2024,84%,98%,89%,10,181,302,1:25,3.31
CLN-June-2024,CLN,6/25/2024,84%,93%,87%,1,1,49,6:44,2.04
CRLV-June-2024,CRLV,6/25/2024,75%,85%,79%,33,64,211,1:21,15.64
CRO-June-2024,CRO,6/25/2024,82%,98%,88%,11,9,57,1:13,19.30
DaCA-June-2024,DaCA,6/25/2024,82%,98%,88%,11,1,297,1:00,3.70
DCO-June-2024,DCO,6/25/2024,92%,99%,94%,9,150,577,2:26,1.56
DCR-June-2024,DCR,6/25/2024,93%,97%,94%,151,45,2712,1:01,5.57
DCT-June-2024,DCT,6/25/2024,88%,93%,90%,10,28,286,0:56,3.50
DDC-June-2024,DDC,6/25/2024,81%,99%,87%,17,45,502,0:55,3.39
DeCA-June-2024,DeCA,6/25/2024,86%,94%,89%,9,131,265,1:03,3.40
DVCSD-June-2024,DVCSD,6/25/2024,83%,97%,88%,38,101,330,1:13,11.52
HDC-June-2024,HDC,6/25/2024,84%,97%,89%,10,17,195,1:18,5.13
ICA-June-2024,ICA,6/25/2024,85%,98%,90%,6,76,169,1:01,3.55
KCA-June-2024,KCA,6/25/2024,93%,92%,93%,3,29,170,1:09,1.76
LADC-June-2024,LADC,6/25/2024,80%,97%,86%,10,220,618,0:44,1.62
LVCA-June-2024,LVCA,6/25/2024,76%,98%,84%,15,67,403,1:10,3.72
MiCA-June-2024,MiCA,6/25/2024,82%,97%,87%,7,125,202,0:58,3.47
MnCA-June-2024,MnCA,6/25/2024,88%,96%,91%,7,38,120,1:15,5.83
NWCR-June-2024,NWCR,6/25/2024,94%,89%,92%,27,144,807,0:57,3.35
OCDC-June-2024,OCDC,6/25/2024,70%,94%,78%,29,82,492,0:57,5.89
OrE-June-2024,OrE,6/25/2024,80%,98%,86%,1,23,0,0:00,0.00
PRLV-June-2024,PRLV,6/25/2024,89%,99%,93%,8,2,205,1:56,3.90
SBH-June-2024,SBH,6/25/2024,71%,93%,79%,0,0,0,0:00,0.00
SDDC-June-2024,SDDC,6/25/2024,89%,97%,92%,10,43,971,0:58,1.03
SJCR-June-2024,SJCR,6/25/2024,86%,98%,90%,13,39,286,0:54,4.55
TR-June-2024,TR,6/25/2024,80%,97%,86%,10,105,366,1:06,2.73
TR-June-2023,TR,6/1/2023,0%,0%,0%,7,0,520,1:06,1.35
SJCR-June-2023,SJCR,6/1/2023,0%,0%,0%,6,0,251,0:59,2.39
SDDC-June-2023,SDDC,6/1/2023,0%,0%,0%,16,0,1942,0:51,0.82
PRLV-June-2023,PRLV,6/1/2023,0%,0%,0%,9,0,134,1:33,6.72
OrE-June-2023,OrE,6/1/2023,0%,0%,0%,0,0,59,0:00,0.00
OCDC-June-2023,OCDC,6/1/2023,0%,0%,0%,18,0,1005,0:43,1.79
NWCR-June-2023,NWCR,6/1/2023,0%,0%,0%,88,0,1226,0:53,7.18
MnCA-June-2023,MnCA,6/1/2023,0%,0%,0%,12,0,125,1:22,9.60
MiCA-June-2023,MiCA,6/1/2023,0%,0%,0%,13,0,183,0:57,7.10
LVCA-June-2023,LVCA,6/1/2023,0%,0%,0%,16,0,372,1:06,4.30
LADC-June-2023,LADC,6/1/2023,0%,0%,0%,0,0,667,0:38,0.00
KCA-June-2023,KCA,6/1/2023,0%,0%,0%,6,0,201,1:32,2.99
ICA-June-2023,ICA,6/1/2023,0%,0%,0%,14,0,185,0:57,7.57
HDC-June-2023,HDC,6/1/2023,0%,0%,0%,6,0,161,1:03,3.73
DVCSD-June-2023,DVCSD,6/1/2023,0%,0%,0%,78,0,395,1:07,19.75
DeCA-June-2023,DeCA,6/1/2023,0%,0%,0%,20,0,215,1:03,9.30
DDC-June-2023,DDC,6/1/2023,0%,0%,0%,19,0,538,0:55,3.53
DCT-June-2023,DCT,6/1/2023,0%,0%,0%,16,0,242,1:01,6.61
DCR-June-2023,DCR,6/1/2023,0%,0%,0%,76,0,4080,1:05,1.86
DCO-June-2023,DCO,6/1/2023,0%,0%,0%,21,0,1812,1:00,1.16
DaCA-June-2023,DaCA,6/1/2023,0%,0%,0%,11,0,372,0:39,2.96
CRO-June-2023,CRO,6/1/2023,0%,0%,0%,0,0,55,2:07,0.00
CRLV-June-2023,CRLV,6/1/2023,0%,0%,0%,29,0,318,1:20,9.12
CLN-June-2023,CLN,6/1/2023,0%,0%,0%,0,0,0,0:00,0.00
CCA-June-2023,CCA,6/1/2023,0%,0%,0%,25,0,334,1:06,7.49
BC-June-2023,BC,6/1/2023,0%,0%,0%,0,0,322,0:51,0.00
AtCA-June-2023,AtCA,6/1/2023,0%,0%,0%,21,0,194,1:16,10.82
AtCA-July-2024,AtCA,7/24/2024,78%,93%,83%,14,54,148,1:19,9.46
BC-July-2024,BC,7/24/2024,83%,93%,87%,4,26,84,1:46,4.76
CCA-July-2024,CCA,7/24/2024,75%,98%,83%,32,177,314,1:33,10.19
CLN-July-2024,CLN,7/24/2024,84%,5%,56%,0,0,40,,0.00
CRLV-July-2024,CRLV,7/24/2024,86%,87%,86%,33,67,196,1:43,16.84
CRO-July-2024,CRO,7/24/2024,83%,94%,87%,1,12,90,1:04,1.11
DaCA-July-2024,DaCA,7/24/2024,86%,97%,90%,8,3,224,0:39,3.57
DCO-July-2024,DCO,7/24/2024,99%,100%,99%,16,151,545,2:26,2.94
DCR-July-2024,DCR,7/24/2024,93%,97%,94%,78,45,2985,1:14,2.61
