"Record ID","Campaign Code","Date 1","Website Speed",Leads,Rankings,Traffic,Engagement,Conversion,"Health Score","Campaign Assessment"
"AtCA : February-2026",AtCA,"February 1, 2026",5,5,4,4,2,5,4.17,"Exceeds Expectations"
"BC : February-2026",BC,"February 1, 2026",4,1,2,5,1,1,2.33,Stable
"CCA : February-2026",CCA,"February 1, 2026",5,5,3,2,3,5,3.83,"Exceeds Expectations"
"CCS : February-2026",CCS,"February 1, 2026",5,5,3,5,2,5,4.17,"Exceeds Expectations"
"CLN : February-2026",CLN,"February 1, 2026",5,1,1,2,2,1,2.00,Stable
"CRC : February-2026",CRC,"February 1, 2026",2,5,5,5,1,5,3.83,"Exceeds Expectations"
"CRLV : February-2026",CRLV,"February 1, 2026",5,2,5,2,3,1,3.00,"Meets Expectations"
"CRO : February-2026",CRO,"February 1, 2026",5,3,4,2,2,5,3.50,"Meets Expectations"
"DaCA : February-2026",DaCA,"February 1, 2026",4,2,5,2,2,5,3.33,"Meets Expectations"
"DCO : February-2026",DCO,"February 1, 2026",5,4,1,4,2,4,3.33,"Meets Expectations"
"DCR : February-2026",DCR,"February 1, 2026",5,2,4,3,3,1,3.00,"Meets Expectations"
"DCT : February-2026",DCT,"February 1, 2026",5,1,2,1,2,5,2.67,Stable
"DDC : February-2026",DDC,"February 1, 2026",5,1,2,1,2,5,2.67,Stable
"DeCA : February-2026",DeCA,"February 1, 2026",5,3,2,4,1,1,2.67,Stable
"DVCSD : February-2026",DVCSD,"February 1, 2026",5,5,4,2,2,5,3.83,"Exceeds Expectations"
"HDC : February-2026",HDC,"February 1, 2026",5,5,2,1,2,5,3.33,"Meets Expectations"
"ICA : February-2026",ICA,"February 1, 2026",4,5,4,5,3,5,4.33,"Excellent Performance"
"KCA : February-2026",KCA,"February 1, 2026",5,1,2,2,1,1,2.00,Stable
"LADC : February-2026",LADC,"February 1, 2026",3,2,2,5,2,1,2.50,Stable
"LVCA : February-2026",LVCA,"February 1, 2026",4,2,2,2,5,1,2.67,Stable
"MiCA : February-2026",MiCA,"February 1, 2026",5,5,5,2,2,5,4.00,"Exceeds Expectations"
"MnCA : February-2026",MnCA,"February 1, 2026",5,3,2,2,2,5,3.17,"Meets Expectations"
"NWCR : February-2026",NWCR,"February 1, 2026",4,5,4,5,2,5,4.17,"Exceeds Expectations"
"OCDC : February-2026",OCDC,"February 1, 2026",5,3,5,2,5,5,4.17,"Exceeds Expectations"
"OrE : February-2026",OrE,"February 1, 2026",5,4,5,2,1,5,3.67,"Meets Expectations"
"PRLV : February-2026",PRLV,"February 1, 2026",4,3,3,2,2,5,3.17,"Meets Expectations"
"SBH : February-2026",SBH,"February 1, 2026",2,4,5,5,3,5,4.00,"Exceeds Expectations"
"SDDC : February-2026",SDDC,"February 1, 2026",5,2,5,2,2,5,3.50,"Meets Expectations"
"SJCR : February-2026",SJCR,"February 1, 2026",4,2,2,3,1,1,2.17,Stable
"TR : February-2026",TR,"February 1, 2026",5,1,2,1,1,1,1.83,"Poor Performance"
"SOA : February-2026",SOA,"February 1, 2026",5,3,3,2,5,1,3.17,"Meets Expectations"
